thr,acc,prec,rec,f1,mae,mse,rmse
0.0,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.03,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.07,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.1,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.13,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.17,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.2,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.23,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.27,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.3,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.33,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.37,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
0.4,1.0,1.0,1.0,1.0,7.0,51.38709677419355,7.168479390651378
